Pais,Capital,Colores_Bandera,processed_at
Argentina,Buenos Aires,"Celeste, Blanco",2025-10-28T04:10:32.320266
Brasil,Brasilia,"Verde, Amarillo, Azul",2025-10-28T04:10:32.320266
Chile,Santiago,"Rojo, Blanco, Azul",2025-10-28T04:10:32.320266
Colombia,Bogotá,"Amarillo, Azul, Rojo",2025-10-28T04:10:32.320266
España,Madrid,"Rojo, Amarillo",2025-10-28T04:10:32.320266
Francia,París,"Azul, Blanco, Rojo",2025-10-28T04:10:32.320266
Italia,Roma,"Verde, Blanco, Rojo",2025-10-28T04:10:32.320266
Japón,Tokio,"Blanco, Rojo",2025-10-28T04:10:32.320266
México,Ciudad de México,"Verde, Blanco, Rojo",2025-10-28T04:10:32.320266
Estados Unidos,Washington D.C.,"Rojo, Blanco, Azul",2025-10-28T04:10:32.320266
